"Gender","Adult","Face_Angle","Image_Color","Image_Quality","Image_Type","Context","Multiface","Race","Smile","Area"
"male",1,0,0,"good",1,"cover",0,"white",0,158877
"male",1,1,0,"good",1,"feature",0,"white",0,63574
"male",1,1,0,"good",1,"feature",0,"white",NA,51092
"male",1,1,0,"good",1,"feature",0,"white",NA,60554
"male",1,1,0,"good",1,"feature",0,"white",NA,38720
"male",1,0,0,"fair",0,"feature",0,"americanindian",0,62746
"male",1,1,0,"good",1,"feature",0,"white",0,62910
"male",1,1,0,"good",1,"feature",0,"asian",0,7380
"male",1,1,0,"good",1,"feature",0,"white",0,80178
"male",1,0,0,"good",1,"feature",0,"white",0,73297
"male",1,1,0,"fair",0,"feature",0,"white",0,9810
"male",1,1,0,"good",1,"feature",0,"white",0,64680
"male",1,1,0,"fair",1,"feature",0,"white",0,11662
"male",1,1,0,"good",1,"feature",1,"white",1,8640
"female",0,1,0,"good",1,"feature",1,"white",NA,6786
"male",1,1,0,"good",1,"feature",0,"white",NA,NA
"female",1,1,0,"fair",1,"feature",0,"white",NA,14012
"male",1,1,0,"fair",1,"feature",0,"white",1,9292
"male",1,1,0,"good",0,"ad",0,"white",1,5916
"male",1,1,0,"good",0,"ad",0,"white",1,43326
"male",1,1,0,"good",0,"feature",0,"white",0,28420
"male",1,1,0,"fair",1,"ad",1,"white",NA,NA
"male",1,0,0,"fair",1,"ad",0,"white",NA,13952
"female",1,1,0,"fair",0,"ad",1,"white",0,6097
"female",1,1,0,NA,0,"ad",1,"white",0,7623
"male",1,1,0,"good",1,"cover",0,"white",0,43120
"male",1,1,0,"good",1,"feature",1,"white",1,8277
"male",1,1,0,"good",1,"feature",0,"white",0,34402
"male",1,1,0,"fair",1,"feature",0,"white",NA,NA
"male",1,1,0,"good",1,"feature",1,"white",NA,37310
"male",1,1,0,"good",1,"feature",0,"white",0,52398
"male",1,1,0,NA,1,"ad",0,"white",1,NA
"male",1,0,0,"fair",1,"feature",1,"white",0,5616
"male",1,1,0,"good",1,"author",1,"asian",0,17731
"female",1,1,0,"fair",1,"feature",0,"white",1,3055
"male",1,1,0,"good",1,"feature",0,"white",0,28665
"female",1,1,0,"fair",1,"feature",1,"white",0,8316
"female",1,1,0,"fair",1,"feature",1,"white",0,1598
